user,time,message
Hinako,2020-05-26 22:17:51.00000,"You can come back if you want to"
Hinako,2020-05-26 22:17:53.00000,"Sorry I kinda kicked you out"
Hinako,2020-05-26 22:17:55.00000,"I didn't mean to"
Matthew,2020-05-26 22:18:08.00000,"Are you just going to be in your room"
Hinako,2020-05-26 22:19:16.00000,"I don't know"
Hinako,2020-05-26 22:19:32.00000,"I just realized it was unfair for me to say I want to be alone and just stay in your room"
Matthew,2020-05-26 22:20:40.00000,"I don't care about that. I'm just worried about you"
Hinako,2020-05-26 22:21:01.00000,"I'm okay"
Matthew,2020-05-26 22:21:07.00000,"Are you sure?"
Matthew,2020-05-26 22:21:11.00000,"You know I'm still going to worry about you"
Matthew,2020-05-26 22:22:15.00000,"I love you"
Hinako,2020-05-26 22:22:18.00000,"I love you too"
Hinako,2020-05-26 22:22:38.00000,"I'm just not in a good place"
Hinako,2020-05-26 22:22:42.00000,"I'll come back up soon"
Matthew,2020-05-26 22:23:02.00000,"Okay"
Hinako,2020-05-26 23:31:34.00000,"i am feeling much better now"
Hinako,2020-05-26 23:31:41.00000,"i'm tired but i'll take a nap later"
Matthew,2020-05-26 23:40:02.00000,"That makes me happy"
Matthew,2020-05-26 23:40:07.00000,"I couldn't stop thinking about you"
Matthew,2020-05-26 23:40:14.00000,"I love you so much"
Hinako,2020-05-26 23:40:16.00000,"i love you so much too"
